sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
0,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,300000,125,1.8,14,550000
1,Mercedes-Benz,GLA-Class    ,DE,Astrakhan,gasoline,robot,FWD,88000,156,1.6,10,1820000
2,Haval,F7    ,CN,Astrakhan,gasoline,robot,4WD,19000,150,1.5,2,2600000
3,Toyota,Camry    ,JP,Astrakhan,gasoline,automatic,FWD,30000,249,3.5,2,4200000
4,OMODA,C5    ,CN,Astrakhan,gasoline,CVT,FWD,18824,147,1.5,2,2125000
5,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,4WD,125000,184,2,6,3779999
6,Toyota,RAV4    ,JP,Astrakhan,gasoline,CVT,FWD,68023,146,2,9,2539000
7,Ford,Focus    ,USA,Astrakhan,gasoline,manual,FWD,261000,125,1.8,18,555000
8,Honda,Civic    ,JP,Astrakhan,gasoline,automatic,FWD,250000,105,1.5,22,455000
9,Kia,Rio X (X-Line)  ,KR,Astrakhan,gasoline,automatic,FWD,40000,123,1.6,5,1950000
10,Hyundai,Tucson    ,KR,Astrakhan,diesel,automatic,4WD,8300,186,2,3,3490000
11,Hyundai,Trajet    ,KR,Astrakhan,gasoline,automatic,FWD,299000,140,2,19,830000
12,Toyota,Corolla    ,JP,Astrakhan,gasoline,CVT,FWD,143702,122,1.6,10,1455000
13,Renault,Duster    ,FR,Astrakhan,gasoline,manual,4WD,112067,143,2,6,1595000
14,Kia,Ceed    ,KR,Astrakhan,gasoline,manual,FWD,147166,130,1.6,11,1315000
15,Opel,Astra GTC   ,DE,Astrakhan,gasoline,manual,FWD,225000,180,1.6,12,980000
16,Kia,Soul    ,KR,Astrakhan,gasoline,automatic,FWD,113901,131,1.6,8,1800000
17,Great,Wall Hover H5  ,CN,Astrakhan,diesel,manual,4WD,121000,143,2,11,590000
18,Toyota,Auris    ,JP,Astrakhan,gasoline,automatic,FWD,220000,124,1.6,13,1100000
19,Infiniti,QX70    ,JP,Astrakhan,gasoline,automatic,4WD,68888,333,3.7,9,3650000
20,Audi,A6    ,DE,Astrakhan,hybrid,robot,FWD,99000,204,2,5,4000000
21,Volkswagen,Polo    ,DE,Astrakhan,gasoline,manual,FWD,79000,90,1.6,4,1200000
22,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,4WD,195000,150,2,13,1249900
23,Toyota,RAV4    ,JP,Astrakhan,gasoline,manual,FWD,98501,146,2,10,1950000
24,Hyundai,Elantra    ,KR,Astrakhan,gasoline,automatic,FWD,75000,128,1.6,4,1960000
25,GAZ,21 Volga   ,RUS,Astrakhan,gasoline,manual,RWD,59000,75,2.4,60,490000
26,Toyota,Corolla    ,JP,Astrakhan,gasoline,automatic,FWD,61,116,1.2,2,2700000
27,GAZ,21 Volga   ,RUS,Yekaterinburg,gasoline,manual,RWD,9300,75,2.4,59,470000
28,Mercedes-Benz,E-Class    ,DE,Astrakhan,gasoline,automatic,RWD,44378,224,3.2,26,430000
29,Kia,Rio X (X-Line)  ,KR,Astrakhan,gasoline,automatic,FWD,80000,123,1.6,6,1699000
30,GAZ,21 Volga   ,RUS,Irkutsk,gasoline,manual,RWD,100000,75,2.4,57,400000
31,GAZ,21 Volga   ,RUS,Krasnoyarsk,gasoline,manual,RWD,79489,70,2.4,65,700000
32,GAZ,21 Volga   ,RUS,Rostov-on-Don,gasoline,manual,RWD,1000,75,2.4,60,2499000
33,Peugeot,308,FR,Astrakhan,gasoline,manual,FWD,150600,120,1.6,14,530000
34,GAZ,21 Volga   ,RUS,Samara,gasoline,manual,RWD,90000,75,2.4,56,150000
35,GAZ,21 Volga   ,RUS,Samara,gasoline,manual,RWD,68663,75,2.4,60,600000
36,Toyota,RAV4    ,JP,Astrakhan,gasoline,automatic,4WD,220000,152,2,18,1380008
37,Hyundai,ix35    ,KR,Astrakhan,gasoline,automatic,FWD,140000,150,2,10,1650000
38,Kia,Rio    ,KR,Astrakhan,gasoline,manual,FWD,92000,107,1.4,7,1200000
39,Kia,Sportage    ,KR,Astrakhan,gasoline,automatic,FWD,88400,150,2,8,2100000
40,Toyota,Mark II   ,JP,Astrakhan,gasoline,automatic,RWD,300000,135,2,31,350000
41,Mitsubishi,Delica    ,JP,Astrakhan,gasoline,automatic,4WD,172500,185,3,25,1750000
42,Nissan,Juke    ,JP,Astrakhan,gasoline,CVT,FWD,117407,117,1.6,12,1110900
43,Mitsubishi,Xpander    ,JP,Astrakhan,gasoline,automatic,FWD,20,105,1.5,1,2900000
44,Volkswagen,Scirocco    ,DE,Astrakhan,gasoline,manual,FWD,222000,160,1.4,16,1050000
