"","productTitle","previousPrice","currentPrice","remainingProduct"
"1","Portable Mini Water Air Cooler Table Fan - 10W","৳2950","৳1370","500pc left"
"2","Portable Mini Water Air Cooler Table Fan - 10W","৳2950","৳1399","500pc left"
"3","DP 7624 Rechargeable Portable USB Table Fan With LED Light - White","৳4200","৳1490","500pc left"
"4","DP 7624 Rechargeable Portable USB Table Fan With LED Light - White","৳4200","৳1490","100pc left"
"5","DP 7625 Rechargeable Portable USB Fan with LED Light - White ","৳1800","৳1242","100pc left"
"6","DP 7624 Rechargeable Portable USB Table Fan With LED Light - White","৳4200","৳1650","100pc left"
"7","Jy Super JY-2218 Rechargeable Fan","৳1550","৳1271","300pc left"
"8","Jy Super JY-2218 Rechargeable Fan","৳1550","৳1318","300pc left"
"9","OnePlus Y1G Android 11 Updated Global Version - 32 Inch - Black","৳29990","৳18000","200pc left"
"10","Polyester Rain Coat For Men - Multicolor","৳720","৳340","500pc left"
"11","TASNE Sunflower Oil - 5 Liter ","৳1900","৳1250","5000pc left"
"12","SAMSUNG UA43CU7700 Crystal 4K UHD Smart LED TV - 43 Inch - Black - 4338031","৳65900","৳42999","100pc left"
"13","BMW Polyester 12 Sticks Auto Open And Close Super Strong Umbrella","৳1650","৳549","0pc left"
"14","Happylone PVC Rain Coat with Trouser - Deep Blue","৳1065","৳680","100pc left"
"15","BMW 12 Sticks Auto Open and Auto Close Umbrella - Pink","৳1100","৳599","100pc left"
"16","OnePlus Y1G Android 11 Updated Global Version Smart TV - 43 Inch - Black","৳44990","৳28000","200pc left"
"17","X96 Mini Smart Android TV Box - RAM 2GB - ROM 16GB - Black","৳3500","৳1732","100pc left"
"18","Kiam Non Stick 7 Pcs Cookware Set - Silver","৳4500","৳3099","400pc left"
"19","Red Tape Mesh Running Shoes For Men - White - EFH-302","৳7999","৳1099","800pc left"
"20","Red Tape Mesh Running Shoes For Men - White - EFH-302","৳3550","৳990","1000pc left"
"21","Stainless Steel Analog Watch For Men - Black","৳1600","৳650","200pc left"
"22","LDNIO C504 Dual QC3.0 Fast Car Charger With 3 Slot Socket Adapter - White","৳1850","৳1150","100pc left"
"23","Premium Quality HP 6VC299AA Polyester Classic Backpack - Black","৳1550","৳439","200pc left"
"24","Luminous ECO Watt Neo 700 IPS Inverter - 504Watt","৳11500","৳9450","20pc left"
"25","Top Clean TPCL-501 5 Stage Direct Flow Water Purifier - 1 GPM","৳7000","৳2860","50pc left"
"26","T900 Ultra 2 Fitness Tracker Smart Watch - Black","৳1750","৳750","200pc left"
"27","Kiam Queen Pressure Cooker - 3.5 Ltr","৳1500","৳1288","50pc left"
"28","Pack of 42 Pcs Kitkat 2 Flinger Chocolate - 11.9gm","৳1000","৳869","1000pc left"
"29","GEEPAS GK5454N Stainless Steel Electric Kettle - 1.8 Liter - Silver and Black","৳1350","৳600","100pc left"
"30","Combo Offer Of Xiaomi Mi MJXSJ03XW Automatic Soap Dispenser With Simple way Foaming Hand Wash","৳2600","৳2376","50pc left"
"31","Drinkcan Shine Water Purifier - White","৳22000","৳16324","5pc left"
"32","T55 Pro Max Smart Watch with Earbud - Black","৳1600","৳800","50pc left"
"33","I8 Pro Max Smart Watch - Black","৳1000","৳475","150pc left"
"34","Panasonic PN-BL303 3 IN 1 Juicer Blender and Grinder - 300W - 1.5 Liter - Red","৳2200","৳1420","100pc left"
"35","Kaspersky Standard Internet Security 1 User - 1 Year","৳899","৳594","200pc left"
"36","JY JY-2218 Rechargeable Fan - Multicolor","৳1950","৳1620","25pc left"
"37","Adata DDR3 1600Mhz Desktop RAM - 8GB","৳2250","৳840","100pc left"
"38","Haylou RS5 AMOLED HD Display Bluetooth Calling Smartwatch - Black","৳5000","৳4199","100pc left"
"39","Huawei MateView GT 4k WQHD HDMI DP Curved Gaming Monitor - 34 Inch - Black ","৳61000","৳43299","50pc left"
"40","Electric Automatic Yogurt Maker - 1 Liter - Pink and Silver - SN41","৳1090","৳525","500pc left"
"41","Click Backup LED 13W Pin - White - B-22","৳930","৳680","200pc left"
"42","Vega V3 Pro Smartphone - 8MP Camera - 2GB RAM - 32GB ROM - 6.26 Inch Display - Blue","৳9990","৳3990","200pc left"
"43","Pack of 06 Pcs Amul Kool Premium Kesar Glass Bottle - 150ml","৳660","৳560","500pc left"
"44","Fujiko Auto Ignition Glass Double Burner Gas Stove - Golden - F3DG002G","৳6200","৳3299","100pc left"
"45","Xiaomi Mi Band 7 Pro Amoled Smart Watch - Black","৳6400","৳5400","100pc left"
"46","Set of 4 Cleaver Iron Knife Chopper","৳1760","৳1100","50pc left"
"47","Set of 6 Pcs Meat Cutting Knife","৳2485","৳1320","50pc left"
"48","WEIXIER PU Leather Crossbody Shoulder Bag for Men - Brown","৳1000","৳439","200pc left"
"49","Folding Mini USB Cooling Fan With LED Light For Home and Office - White","৳1350","৳850","0pc left"
